Country	Code	GDP	Fertility	Population	Continent	Normalized	Logged	LogGDP
United Arab Emirates	ARE	40439	1.8	9156963	Asia	4.488203469	6.961751459	4.606797862
United Kingdom	GBR	43930	1.8	65128861	Europe	5.374081799	7.813773483	4.642758147
United States	USA	56116	1.8	321418820	America	6.094928793	8.507071302	4.749084527
Uruguay	URY	15574	2	3431555	America	4.045004906	6.535490964	4.192397407
Uzbekistan	UZB	2132	2.5	31298900	Asia	5.043191496	7.495529075	3.32880986
Vanuatu	VUT	2805	3.3	264652	Asia	2.887969805	5.42267518	3.447981579
Vietnam	VNM	2111	2	91713300	Asia	5.528647807	7.96243232	3.32447164
Virgin Islands (U.S.)	VIR	36351	1.7	103574	America	2.464355784	5.015250749	4.560514232
West Bank and Gaza	PSE	2867	4.1	4422143	Africa	4.159523366	6.645632782	3.457397411
Yemen. Rep.	YEM	1406	4	26832215	Asia	4.973661671	7.428656525	3.148075398
Zambia	ZMB	1305	5.3	16211767	Africa	4.74614013	7.209830353	3.115570247
Zimbabwe	ZWE	924	3.9	15602751	Africa	4.728850171	7.193201178	2.965739563
